Id,Category
0,0
1,1
2,0
3,1
4,1
5,1
6,0
7,0
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,1
24,0
25,1
26,0
27,1
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,0
56,1
57,1
58,1
59,0
60,0
61,1
62,0
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,1
115,0
116,1
117,0
118,0
119,0
120,0
121,1
122,0
123,0
124,0
125,0
126,0
127,1
128,1
129,1
130,0
131,0
132,0
133,0
134,0
135,1
136,1
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,0
160,1
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,1
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,1
180,0
181,0
182,0
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,1
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,0
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,0
244,1
245,1
246,0
247,1
248,0
249,1
250,1
251,1
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,1
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,0
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,1
305,0
306,1
307,1
308,0
309,1
310,1
311,0
312,0
313,1
314,0
315,0
316,1
317,1
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,1
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,1
353,0
354,1
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,0
369,1
370,0
371,0
372,0
373,0
374,0
375,0
376,1
377,0
378,0
379,0
380,0
381,1
382,0
383,0
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,1
394,0
395,1
396,0
397,0
398,0
399,0
400,0
401,0
402,1
403,1
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,1
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,1
437,1
438,0
439,0
440,1
441,0
442,0
443,1
444,1
445,0
446,0
447,0
448,1
449,0
450,1
451,0
452,0
453,0
454,1
455,0
456,1
457,0
458,0
459,1
460,0
461,1
462,0
463,1
464,1
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,1
473,0
474,1
475,0
476,0
477,0
478,1
479,0
480,1
481,0
482,0
483,0
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,0
